"site","date","pm2.5"
"richmond","25/09/1996",3.5
"chullora","25/09/1996",NA
"earlwood","25/09/1996",NA
"earlwood","26/09/1996",NA
"chullora","26/09/1996",NA
"richmond","26/09/1996",5.4
"liverpool","26/09/1996",NA
"liverpool","27/09/1996",NA
"chullora","27/09/1996",NA
"richmond","27/09/1996",6
"earlwood","27/09/1996",NA
"liverpool","28/09/1996",NA
"earlwood","28/09/1996",NA
"richmond","28/09/1996",3.7
"chullora","28/09/1996",NA
"richmond","29/09/1996",0
"earlwood","29/09/1996",NA
"chullora","29/09/1996",NA
"liverpool","29/09/1996",NA
"liverpool","30/09/1996",NA
"earlwood","30/09/1996",NA
"chullora","30/09/1996",NA
"richmond","30/09/1996",0.3
"liverpool","01/10/1996",NA
"richmond","01/10/1996",1.1
"chullora","01/10/1996",NA
"earlwood","01/10/1996",NA
"earlwood","02/10/1996",NA
"liverpool","02/10/1996",NA
"richmond","02/10/1996",2
"chullora","02/10/1996",NA
"earlwood","03/10/1996",NA
"richmond","03/10/1996",3.5
"liverpool","03/10/1996",NA
"chullora","03/10/1996",NA
"richmond","04/10/1996",4.5
"chullora","04/10/1996",NA
"earlwood","04/10/1996",NA
"liverpool","04/10/1996",NA
"richmond","05/10/1996",7.9
"earlwood","05/10/1996",NA
"chullora","05/10/1996",NA
"liverpool","05/10/1996",NA
"earlwood","06/10/1996",NA
"liverpool","06/10/1996",NA
"richmond","06/10/1996",9.6
"chullora","06/10/1996",NA
"richmond","07/10/1996",3.7
"earlwood","07/10/1996",NA
"chullora","07/10/1996",NA
"liverpool","07/10/1996",NA
"earlwood","08/10/1996",NA
"richmond","08/10/1996",2.4
"chullora","08/10/1996",NA
"liverpool","08/10/1996",NA
"earlwood","09/10/1996",NA
"richmond","09/10/1996",3.1
"chullora","09/10/1996",NA
"liverpool","09/10/1996",NA
"earlwood","10/10/1996",NA
"richmond","10/10/1996",2.8
"chullora","10/10/1996",NA
"liverpool","10/10/1996",NA
"liverpool","11/10/1996",NA
"earlwood","11/10/1996",NA
"richmond","11/10/1996",1.4
"chullora","11/10/1996",NA
"liverpool","12/10/1996",NA
"earlwood","12/10/1996",NA
"richmond","12/10/1996",1.6
"chullora","12/10/1996",NA
"earlwood","13/10/1996",NA
"chullora","13/10/1996",NA
"liverpool","13/10/1996",NA
"richmond","13/10/1996",4
"chullora","14/10/1996",NA
"liverpool","14/10/1996",NA
"earlwood","14/10/1996",NA
"richmond","14/10/1996",3.8
"earlwood","15/10/1996",NA
"liverpool","15/10/1996",NA
"chullora","15/10/1996",NA
"richmond","15/10/1996",4.3
"earlwood","16/10/1996",NA
"liverpool","16/10/1996",NA
"richmond","16/10/1996",2.5
"chullora","16/10/1996",NA
"liverpool","17/10/1996",NA
"chullora","17/10/1996",NA
"earlwood","17/10/1996",NA
